"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"4584","Normal/Others","WS/MP416/2024-2025/156632-Street lights","Bihar","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","Supply And installation Mini High Mast Lightning System AT Chak Bhawani Chowk block Keoti darbhanga","Ashok Kumar Yadav","MADHUBANI","N/A","21-Mar-2025","495000"
"4585","Normal/Others","WS/MP416/2024-2025/169650-Street lights","Bihar","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","kevti prakhand antargat bhagwati sthan telia pokhar ke nikat sarvajanik sthal par mini high mast electric light ka adhisthapan karya","Ashok Kumar Yadav","MADHUBANI","N/A","21-Mar-2025","495000"
"4586","Normal/Others","WS/MP416/2024-2025/169653-Street lights","Bihar","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","kevti prakhand antargat chhotki ladha karpoori chowk ke nikat sarvajanik sthal par mini high mast electric light ka adhisthapan karya","Ashok Kumar Yadav","MADHUBANI","N/A","21-Mar-2025","495000"
"4587","Normal/Others","WS/MP416/2024-2025/169652-Street lights","Bihar","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","kevti prakhand antargat ladha chowk ke nikat sarvajani sthal par mini high mast electric light ka adhisthapan karya","Ashok Kumar Yadav","MADHUBANI","N/A","21-Mar-2025","495000"
"4588","Normal/Others","WS/MP416/2024-2025/156880-Street lights","Bihar","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","Supply And installation Mini High Mast Lightning System AT Karjapatti Durga Mandir Chowk block Keoti darbhanga","Ashok Kumar Yadav","MADHUBANI","N/A","21-Mar-2025","495000"
"4589","Normal/Others","WS/MP416/2024-2025/156881-Street lights","Bihar","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","Supply And installation Mini High Mast Lightning System AT Madhopatti Mahavari Temple Chowk block Keoti darbhanga","Ashok Kumar Yadav","MADHUBANI","N/A","21-Mar-2025","495000"
"4590","Normal/Others","WS/MP416/2024-2025/156882-Street lights","Bihar","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","Supply And installation Mini High Mast Lightning System AT Mahamadpur Hanuman Temple Chowk block Keoti darbhanga","Ashok Kumar Yadav","MADHUBANI","N/A","21-Mar-2025","495000"
"4591","Normal/Others","WS/MP598/2024-2025/162677-Construction of community centers and community halls","Himachal Pradesh","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","C/o Shed for Community Centre Village Konthro GP Devni Executive Agency BDO Nahan","Suresh Kumar Kashyap","SHIMLA (SC)","N/A","31-Mar-2026","300000"
"4592","Normal/Others","WS/MP18137/2024-2025/157427-Construction of rooms and halls in school and colleges","Meghalaya","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","Construction Of additional classroom for Pearly Stone Academy School","ANDREW J. SYNGKON","SHILLONG","Images","10-Dec-2025","300000"
"4593","Normal/Others","WS/MP18106/2024-2025/178285-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat simrai, tahsil vijaypur, mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4594","Normal/Others","WS/MP18106/2024-2025/178286-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat sarangpur, tahsil vijaypur, mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4595","Normal/Others","WS/MP18228/2024-2025/170031-Improvement of electricity distribution infrastructure","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","VILLAGE SITAM SARAI BLOCK RAMNAGAR ME AWADH INTERNATIONAL ACADEMY ME 10 KVA TRANSFORMER KI ASTHAPANA KA KARYA","PRIYA SAROJ","MACHHLISHAHR(SC)","Images","26-Nov-2025","88400"
"4596","Normal/Others","WS/MP18106/2024-2025/178288-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat nerkheda, tahsil vijaypur, mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4597","Normal/Others","WS/MP18106/2024-2025/178287-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat sahsram, tahsil vijaypur, mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4598","Normal/Others","WS/MP18106/2024-2025/178289-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat kinjari, tahsil vijaypur, mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4599","Normal/Others","WS/MP18106/2024-2025/178290-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat badagaon, tahsil veerpur, mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4600","Normal/Others","WS/MP18106/2024-2025/178292-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat pancho, tahsil beerpur, mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4601","Normal/Others","WS/MP18106/2024-2025/178291-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat nitanwas, tahsil vijaypur, mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4602","Normal/Others","WS/MP18106/2024-2025/178293-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat jakher, tahsil beerpur, mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4603","Normal/Others","WS/MP18106/2024-2025/178294-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat farara, tahsil vijaypur, mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4604","Normal/Others","WS/MP18106/2024-2025/178295-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat parashta, tahsil beerpur, mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4605","Normal/Others","WS/MP18106/2024-2025/178296-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat agara, tahsil  vijaypur, mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4606","Normal/Others","WS/MP18106/2024-2025/178297-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat kathon, tahsil vijaypur, mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4607","Normal/Others","WS/MP18106/2024-2025/178298-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat paratwada, tahsil karahal, mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4608","Normal/Others","WS/MP18106/2024-2025/178299-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat kariyadeh, tahsil karahal, mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4609","Normal/Others","WS/MP18106/2024-2025/178300-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat sesaipura, tahsil karahal mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4610","Normal/Others","WS/MP18106/2024-2025/178301-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat subkara, tahsil badoda, mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4611","Normal/Others","WS/MP18106/2024-2025/178302-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat salmanya, tahsil badoda, mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4612","Normal/Others","WS/MP18106/2024-2025/178303-Purchase of mobile water tankers","Madhya Pradesh","SHEOPUR(District Collector Sheopur_IDA)","gram panchayat syarda,tahsil beerpur beerpur, mai 1 gi water tanker","SHIVMANGAL SINGH TOMAR","MORENA","Images","10-Oct-2025","166026"
"4613","Normal/Others","WS/MP18338/2024-2025/148427-Street lights","Telangana","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Providing of led street lights in Gattuppal village","CHAMALA KIRAN KUMAR REDDY","BHONGIR","Images","22-Mar-2025","199812"
"4614","Normal/Others","WS/MP18338/2024-2025/148431-Street lights","Telangana","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Providing of led street lights in Namapur village","CHAMALA KIRAN KUMAR REDDY","BHONGIR","Images","22-Mar-2025","99906"
"4615","Normal/Others","WS/MP18338/2024-2025/149946-Street lights","Telangana","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Providing of LED Street Lights in Velmakanne (V)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","Images","22-Mar-2025","99906"
"4616","Normal/Others","WS/MP761/2024-2025/169869-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Laying of CC road from Narsimha reddy (H) to Mehboob (H) in Vidyuth nagar Colony","Arvind Dharmapuri","NIZAMABAD","N/A","22-Mar-2025","494999"
"4617","Normal/Others","WS/MP18338/2024-2025/148419-Street lights","Telangana","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Providing of led street lights in Theratpally village","CHAMALA KIRAN KUMAR REDDY","BHONGIR","Images","22-Mar-2025","99906"
"4618","Normal/Others","WS/MP18178/2024-2025/174393-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","KALLAKURICHI(District Collector Kallakurichi_IDA)","Procurement and supply of bench and desk to Nagalur Govt Higher Sec School (50 set)","MALAIYARASAN D","KALLAKURICHI","N/A","22-Mar-2025","1044300"
"4619","Normal/Others","WS/MP18390/2024-2025/148851-Construction of boundary walls of existing public and community buildings","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Construction of Boundary Wall at: Kshetr Panchayat Birno, Gram Panchayat Sahabuddinpur, Qabristan, Development Agency - Vikas Khand Birno","AFZAL ANSARI","GHAZIPUR","Images","21-Jan-2026","496723"
"4620","Normal/Others","WS/MP18352/2024-2025/153578-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Uttar Pradesh","MAU(DISTRICT MAGISTRATE MAU_IDA)","sansadiya khetra me divyang jano ko motorized tricycle uplabdha karane hetu","RAJEEV RAI","GHOSI","Images","08-Jan-2026","200000"
"4621","Normal/Others","WS/MP761/2024-2025/149808-Providing drains and gutters for public drainage","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Laying of CC roads and drains from Vishwanath (H) to Katakam Shanker (H) near CPI office","Arvind Dharmapuri","NIZAMABAD","N/A","19-Aug-2025","483271"
"4622","Normal/Others","WS/MP18155/2024-2025/176203-Lighting of public spaces","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Installation of Solar Street Lights","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","Images","23-Mar-2025","200000"
"4623","Repair and Renovation","WS/MP18311/2024-2025/149474-Construction of public libraries and reading rooms","Punjab","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","repair and renovation baradari garden library at Nawanshahar","MALVINDER SINGH KANG","ANANDPUR SAHIB","Images","06-Jun-2025","493598"
"4624","Normal/Others","WS/MP18162/2024-2025/163635-Construction of community centers and community halls","Rajasthan","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DEVNARYAN MANDIR KE PAS DHARMSHALA NIRMAN KARY GRAM GUNDLI","DAMODAR AGARWAL","BHILWARA","N/A","07-May-2025","500000"
"4625","Normal/Others","WS/MP18404/2024-2025/176561-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE JATPURA KHAS DHARMSHALA PAR )","CHANDRA SHEKHAR","NAGINA(SC)","Images","14-Jan-2026","175590"
"4626","Normal/Others","WS/MP18404/2024-2025/176494-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (KASBA SAHANPUR VALMIKI BASTI)","CHANDRA SHEKHAR","NAGINA(SC)","Images","14-Jan-2026","173959"
"4627","Normal/Others","WS/MP18404/2024-2025/176495-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE NAGLA BHAJJA AHATMALI, VALMIKI BASTI)","CHANDRA SHEKHAR","NAGINA(SC)","Images","14-Jan-2026","175593"
"4628","Normal/Others","WS/MP18404/2024-2025/176488-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (MOHALLA LAVKUSHNAGAR TAKIYA GADI VALMIKI BASTI)","CHANDRA SHEKHAR","NAGINA(SC)","Images","14-Jan-2026","175033"
"4629","Normal/Others","WS/MP18404/2024-2025/176489-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (KASBA KEERATPUR, VALMIKI BASTI)","CHANDRA SHEKHAR","NAGINA(SC)","Images","14-Jan-2026","175582"
"4630","Normal/Others","WS/MP18404/2024-2025/176490-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE CHITAWAR, VALMIKI BASTI)","CHANDRA SHEKHAR","NAGINA(SC)","Images","14-Jan-2026","175058"
"4631","Normal/Others","WS/MP18404/2024-2025/176491-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (MOHALLA GANDHI NAGAR NOORPUR VALMIKI BASTI)","CHANDRA SHEKHAR","NAGINA(SC)","Images","14-Jan-2026","174520"
"4632","Normal/Others","WS/MP18404/2024-2025/176486-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (MOHALLA PAHADI DARWAJA DHAMPUR VALMIKI BASTI)","CHANDRA SHEKHAR","NAGINA(SC)","Images","14-Jan-2026","176118"
"4633","Normal/Others","WS/MP18404/2024-2025/176487-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (MOHALLA MILKIYAN SYOHARA VALMIKI BASTI)","CHANDRA SHEKHAR","NAGINA(SC)","Images","14-Jan-2026","175056"
"4634","Normal/Others","WS/MP18404/2024-2025/176456-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE MUKRPURI GAON KE TIRAHE PAR)","CHANDRA SHEKHAR","NAGINA(SC)","Images","14-Jan-2026","176667"
"4635","Normal/Others","WS/MP18404/2024-2025/176457-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE TIPERJOT GAON KE RASTE PAR)","CHANDRA SHEKHAR","NAGINA(SC)","Images","14-Jan-2026","176107"
"4636","Normal/Others","WS/MP18404/2024-2025/176458-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE NOORPUR CHIBRI GAV KE CHOK PAR)","CHANDRA SHEKHAR","NAGINA(SC)","Images","14-Jan-2026","175570"
"4637","Normal/Others","WS/MP18404/2024-2025/176459-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE KHAKUKANANGLAA ANKIT GURJAR KE GHAR KE PASS)","CHANDRA SHEKHAR","NAGINA(SC)","Images","14-Jan-2026","176681"
"4638","Normal/Others","WS/MP18404/2024-2025/176452-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE PRITHIPUR AASHRAM PAR)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175589"
"4639","Normal/Others","WS/MP18404/2024-2025/176453-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE KAMAL PUR DHOOM SINGH PRADHAN KE GHAR KE PASS)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","174507"
"4640","Normal/Others","WS/MP18404/2024-2025/176454-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE MANDAURA DHOOM SINGH PRADHAN JI KE GHAR KE PASS)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175598"
"4641","Normal/Others","WS/MP18404/2024-2025/176455-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE MORLA GAON KE RASTE PAR)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175033"
"4642","Normal/Others","WS/MP18404/2024-2025/176450-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE SAKARTHAL SANI ME ROAD PAR GATE KE PASS)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175051"
"4643","Normal/Others","WS/MP18404/2024-2025/176451-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE PRITHIPUR GAON KE RASTE PAR)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","174520"
"4644","Normal/Others","WS/MP18404/2024-2025/176493-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (MOHALLA JABTAGANJ VALMIKI BASTI)","CHANDRA SHEKHAR","NAGINA(SC)","N/A","21-Jan-2026","173983"
"4645","Normal/Others","WS/MP18404/2024-2025/176492-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE GOHAWAR HALLU, VALMIKI BASTI)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","174520"
"4646","Normal/Others","WS/MP18404/2024-2025/176514-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE HUSAINPUR URF SAMASPUR    GAON KE BAHAR SADAK PAR)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","174520"
"4647","Normal/Others","WS/MP18404/2024-2025/176513-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE DHAKOLI MONU KE GHAR KE PASS)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175602"
"4648","Normal/Others","WS/MP18404/2024-2025/176512-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE MUMINPUR URF GILADI GAON KE RASTE PAR)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175599"
"4649","Normal/Others","WS/MP18404/2024-2025/176511-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE PUTTHA  RAVIDAS MANDIR KE PASS CHOURAHE PAR)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","176124"
"4650","Normal/Others","WS/MP18404/2024-2025/176516-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE FARIDPUR SADIRAN SANJEEV PRADHAN JI KE GHAR KE SAMNE)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175062"
"4651","Normal/Others","WS/MP18404/2024-2025/176515-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE SSERPUR KALYAN GAON KE CHOURAHE PAR)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175611"
"4652","Normal/Others","WS/MP18404/2024-2025/176523-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE SAIDPURI MAHICHAND NEAR GURUDWARA)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","176644"
"4653","Normal/Others","WS/MP18404/2024-2025/176528-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE GULALWALI NEAR GURUDWARA)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175590"
"4654","Normal/Others","WS/MP18404/2024-2025/176527-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE SHAH MUJAFFARPUR BILA AHTMALI URF CHAMRAAWALA NEAR GURUDWARA)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175593"
"4655","Normal/Others","WS/MP18404/2024-2025/176526-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE KHASPURA NEAR GURUDWARA)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","175045"
"4656","Normal/Others","WS/MP18404/2024-2025/176525-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE RAHU NAGLI NEAR GURUDWARA)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","176130"
"4657","Normal/Others","WS/MP18404/2024-2025/176524-Lighting of public spaces","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE (VILLAGE DITANPUR NEAR GURUDWARA)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","173983"
